Pk,Tm,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PPG,TRPG,APG,WS,BPM
1,DET,Cade Cunningham,Oklahoma State,64,2088,1114,354,356,0.416,0.314,0.845,32.6,17.4,5.5,5.6,-0.5,-1.6
2,HOU,Jalen Green,,,,,,,,,,,,,,,
3,CLE,Evan Mobley,USC,69,2331,1034,570,174,0.508,0.25,0.663,33.8,15,8.3,2.5,5.2,0.6
4,TOR,Scottie Barnes,Florida State,74,2617,1134,557,256,0.492,0.301,0.735,35.4,15.3,7.5,3.5,6.6,0.9
5,ORL,Jalen Suggs,Gonzaga,48,1307,564,171,209,0.361,0.214,0.773,27.2,11.8,3.6,4.4,-1.6,-5.6
6,OKC,Josh Giddey,,,,,,,,,,,,,,,
7,GSW,Jonathan Kuminga,,,,,,,,,,,,,,,
8,ORL,Franz Wagner,Michigan,79,2429,1197,356,231,0.468,0.354,0.863,30.7,15.2,4.5,2.9,4,-0.7
9,SAC,Davion Mitchell,Baylor,75,2076,861,166,313,0.418,0.316,0.659,27.7,11.5,2.2,4.2,0.1,-3.8
10,NOP,Ziaire Williams,Stanford,62,1346,501,129,65,0.45,0.314,0.782,21.7,8.1,2.1,1,2.2,-3
11,CHO,James Bouknight,UConn,31,304,142,52,26,0.348,0.347,0.871,9.8,4.6,1.7,0.8,0,-7.1
12,SAS,Joshua Primo,Alabama,50,965,288,113,81,0.374,0.307,0.746,19.3,5.8,2.3,1.6,0,-5
13,IND,Chris Duarte,Oregon,55,1541,720,226,114,0.432,0.369,0.804,28,13.1,4.1,2.1,0.9,-2.3
14,GSW,Moses Moody,Arkansas,52,607,228,80,23,0.437,0.364,0.778,11.7,4.4,1.5,0.4,1.3,-2.5
15,WAS,Corey Kispert,Gonzaga,77,1801,634,209,85,0.455,0.35,0.871,23.4,8.2,2.7,1.1,2.3,-2.3
16,OKC,Alperen Şengün,,,,,,,,,,,,,,,
17,MEM,Trey Murphy III,Virginia,62,864,334,147,38,0.394,0.382,0.882,13.9,5.4,2.4,0.6,1.9,-1.2
18,OKC,Tre Mann,Florida,60,1367,625,171,91,0.393,0.36,0.793,22.8,10.4,2.9,1.5,0.1,-4.3
19,NYK,Kai Jones,Texas,21,63,22,11,4,0.643,0.5,0.375,3,1,0.5,0.2,0,-6.6
20,ATL,Jalen Johnson,Duke,22,120,52,26,3,0.537,0.231,0.714,5.5,2.4,1.2,0.1,0,-4.9
21,NYK,Keon Johnson,Tennessee,37,697,267,81,76,0.353,0.34,0.804,18.8,7.2,2.2,2.1,-0.5,-5.9
22,LAL,Isaiah Jackson,Kentucky,36,541,297,149,10,0.563,0.313,0.682,15,8.3,4.1,0.3,1.4,-1.5
23,HOU,Usman Garuba,,,,,,,,,,,,,,,
24,HOU,Josh Christopher,Arizona State,74,1334,587,186,150,0.448,0.296,0.735,18,7.9,2.5,2,0.3,-3.5
25,LAC,Quentin Grimes,Houston,46,786,275,94,44,0.404,0.381,0.684,17.1,6,2,1,1.4,-0.3
26,DEN,Bones Hyland,VCU,69,1310,698,188,191,0.403,0.366,0.856,19,10.1,2.7,2.8,2.4,-0.4
27,BRK,Cam Thomas,LSU,67,1176,570,161,78,0.433,0.27,0.829,17.6,8.5,2.4,1.2,0.8,-3.4
28,PHI,Jaden Springer,Tennessee,2,6,2,2,0,1,,,3,1,1,0,0,17.1
29,PHO,Day'Ron Sharpe,UNC,32,391,198,160,17,0.577,0.286,0.585,12.2,6.2,5,0.5,1.2,-2.8
30,UTA,Santi Aldama,Loyola (MD),32,360,132,87,21,0.402,0.125,0.625,11.3,4.1,2.7,0.7,0.3,-5.7
31,MIL,Isaiah Todd,,,,,,,,,,,,,,,
32,NYK,Jeremiah Robinson-Earl,Villanova,49,1087,366,274,49,0.414,0.352,0.741,22.2,7.5,5.6,1,1.5,-2.2
33,ORL,Jason Preston,,,,,,,,,,,,,,,
34,OKC,Rokas Jokubaitis,,,,,,,,,,,,,,,
35,NOP,Herbert Jones,Alabama,78,2335,742,296,167,0.476,0.337,0.84,29.9,9.5,3.8,2.1,4.6,-0.5
36,OKC,Miles McBride,West Virginia,40,372,89,42,41,0.296,0.25,0.667,9.3,2.2,1.1,1,0.2,-4.5
37,DET,JT Thor,Auburn,33,262,67,43,19,0.436,0.259,0.6,7.9,2,1.3,0.6,0.3,-3
38,CHI,Ayo Dosunmu,Illinois,77,2110,679,214,256,0.52,0.376,0.679,27.4,8.8,2.8,3.3,3,-2
39,SAC,Neemias Queta,Utah State University,14,120,45,31,6,0.447,,0.647,8.6,3.2,2.2,0.4,0.1,-5.1
40,NOP,Jared Butler,Baylor,42,360,161,45,63,0.404,0.318,0.688,8.6,3.8,1.1,1.5,0.4,-1.6
41,SAS,Joe Wieskamp,Iowa,29,205,61,14,9,0.357,0.326,0.538,7.1,2.1,0.5,0.3,0.1,-3.9
42,DET,Isaiah Livers,Michigan,19,383,121,57,21,0.456,0.422,0.857,20.2,6.4,3,1.1,0.7,-1.5
43,NOP,Greg Brown III,Texas,48,640,225,135,35,0.426,0.311,0.677,13.3,4.7,2.8,0.7,0.4,-4.7
44,BRK,Kessler Edwards,Pepperdine,48,987,284,172,31,0.412,0.353,0.842,20.6,5.9,3.6,0.6,0.6,-3.8
45,BOS,Juhann Begarin,,,,,,,,,,,,,,,
46,TOR,Dalano Banton,Nebraska,64,696,205,124,99,0.411,0.255,0.591,10.9,3.2,1.9,1.5,0.4,-3.1
47,TOR,David Johnson,Louisville,2,2,0,0,0,0,0,,1,0,0,0,0,-27.7
48,ATL,Sharife Cooper,Auburn,13,39,7,5,5,0.214,0.167,,3,0.5,0.4,0.4,-0.2,-16.3
49,BRK,Marcus Zegarowski,Creighton,,,,,,,,,,,,,,
50,PHI,Filip Petrušev,Gonzaga,,,,,,,,,,,,,,
51,MEM,Brandon Boston Jr.,Kentucky,51,760,343,111,51,0.385,0.306,0.819,14.9,6.7,2.2,1,0.4,-3.3
52,DET,Luka Garza,Iowa,32,389,186,100,20,0.449,0.327,0.623,12.2,5.8,3.1,0.6,0.8,-2.5
53,PHI,Charles Bassey,Western Kentucky,23,168,69,62,7,0.638,0,0.75,7.3,3,2.7,0.3,0.8,1.9
54,IND,Sandro Mamukelashvili,Seton Hall,41,407,154,82,22,0.496,0.423,0.818,9.9,3.8,2,0.5,1.1,-0.3
55,OKC,Aaron Wiggins,Maryland,50,1209,416,178,68,0.463,0.304,0.729,24.2,8.3,3.6,1.4,1.2,-4.3
56,CHO,Scottie Lewis,Florida,2,7,1,0,1,,,0.5,3.5,0.5,0,0.5,0,6
57,CHO,Balša Koprivica,Florida State,,,,,,,,,,,,,,
58,NYK,Jericho Sims,Texas,41,555,90,169,21,0.722,,0.414,13.5,2.2,4.1,0.5,1.5,-1.7
59,BRK,RaiQuan Gray,Florida State,25,658,109,211,8,30,71,93,37,160,55,30,18,65
60,IND,Georgios Kalaitzakis,,,,,,,,,,,,,,,